epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
0,2024-05-26 21:56:07.327651,2024-05-26 22:36:17.589987,40.17103893333333,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\bert,68.73146622734761,81.74629324546952,85.22240527182866,87.2487644151565,88.48434925864909,89.52224052718287,90.0988467874794,90.64250411861615,91.02141680395387,91.35090609555189,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\Eclipse_morethan10_processed_again.csv,17
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
1,2024-05-26 22:36:17.624967,2024-05-26 23:16:09.884889,39.8709987,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\bert,74.39868204283361,87.46293245469522,90.90609555189457,92.65238879736408,93.82207578253707,94.54695222405272,95.27182866556836,95.7001647446458,96.09555189456343,96.34266886326195,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\Eclipse_morethan10_processed_again.csv,17
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
0,2024-05-27 14:56:53.323573,2024-05-27 15:16:34.700855,19.689621366666664,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,77.49113189293776,83.90841663979361,85.71428571428571,86.87520154788778,87.74588842308933,88.58432763624637,89.1970332150919,89.42276684940342,89.77749113189294,90.16446307642696,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
1,2024-05-27 15:16:34.716480,2024-05-27 15:36:28.847750,19.902187833333336,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,82.45727184779103,88.45533698806837,90.39019671073846,91.74459851660755,92.6152853918091,93.13124798452112,93.64721057723315,94.13092550790067,94.42115446630119,94.6146404385682,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
2,2024-05-27 15:36:28.852749,2024-05-27 15:56:09.638218,19.679757816666665,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,85.77878103837472,91.06739761367301,93.06675266043212,93.90519187358916,94.22766849403418,94.6468881006127,94.96936472105773,95.25959367945823,95.48532731376976,95.61431796194776,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
3,2024-05-27 15:56:09.643210,2024-05-27 16:15:50.819132,19.686265366666664,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.74588842308933,92.7120283779426,93.93743953563367,94.4856497903902,95.00161238310223,95.25959367945823,95.48532731376976,95.61431796194776,95.77555627217026,95.96904224443728,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
4,2024-05-27 16:15:50.823113,2024-05-27 16:35:31.210080,19.673116116666666,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.58465011286681,92.7442760399871,93.93743953563367,94.71138342470171,95.25959367945823,95.58207029990325,95.96904224443728,96.16252821670429,96.4850048371493,96.61399548532731,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
5,2024-05-27 16:35:31.214079,2024-05-27 16:55:11.037228,19.663719150000002,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.2944211544663,92.42179941954208,93.80844888745565,94.7436310867462,95.19509835536924,95.61431796194776,95.96904224443728,96.2270235407933,96.3560141889713,96.3882618510158,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
6,2024-05-27 16:55:11.041212,2024-05-27 17:14:51.214316,19.669551733333332,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.2299258303773,92.7442760399871,94.06643018381168,94.84037407287971,95.29184134150275,95.51757497581426,95.74330861012577,96.06578523057078,96.2592712028378,96.4850048371493,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
7,2024-05-27 17:14:51.219304,2024-05-27 17:34:31.464745,19.67075735,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.1976781683328,92.8732666881651,94.29216381812319,95.03386004514672,95.42083198968075,95.84005159625927,96.13028055465979,96.3237665269268,96.45275717510481,96.67849080941632,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
8,2024-05-27 17:34:31.469720,2024-05-27 17:54:11.848866,19.672985766666667,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,86.42373427926475,93.06675266043212,94.3566591422122,95.06610770719122,95.42083198968075,95.67881328603676,95.96904224443728,96.16252821670429,96.3882618510158,96.4850048371493,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
9,2024-05-27 17:54:11.853861,2024-05-27 18:13:52.173582,19.67199535,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.55240245082231,92.7442760399871,94.00193485972267,95.03386004514672,95.48532731376976,95.87229925830377,96.09803289261528,96.2592712028378,96.42050951306031,96.58174782328281,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
10,2024-05-27 18:13:52.178609,2024-05-27 18:33:32.767473,19.676481066666668,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.06868752015478,92.8732666881651,93.90519187358916,94.55014511447921,95.19509835536924,95.54982263785875,95.61431796194776,95.84005159625927,96.13028055465979,96.19477587874879,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
11,2024-05-27 18:33:32.772486,2024-05-27 18:53:13.769262,19.6832796,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.45565946468881,92.64753305385359,94.22766849403418,94.6146404385682,95.13060303128023,95.51757497581426,95.61431796194776,95.93679458239278,96.09803289261528,96.2270235407933,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
12,2024-05-27 18:53:13.774264,2024-05-27 19:12:54.526715,19.67920751666667,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.97162205740084,92.80877136407611,94.32441148016768,94.71138342470171,95.25959367945823,95.61431796194776,95.71106094808127,96.00128990648177,96.16252821670429,96.29151886488229,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
13,2024-05-27 19:12:54.531739,2024-05-27 19:32:35.388611,19.680947866666667,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.58465011286681,92.7765237020316,93.93743953563367,94.6146404385682,94.96936472105773,95.25959367945823,95.48532731376976,95.67881328603676,95.90454692034828,96.03353756852628,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
epoch,start_time,end_time,duration,user_id,model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top6_accuracy,top7_accuracy,top8_accuracy,top9_accuracy,top10_accuracy,optional_feature,learning_rate,dataset,experiment_num
14,2024-05-27 19:32:35.392592,2024-05-27 19:52:16.944918,19.692538766666665,1,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\model\xlnet,87.58465011286681,92.5830377297646,93.64721057723315,94.42115446630119,95.06610770719122,95.35633666559174,95.48532731376976,95.64656562399226,95.93679458239278,96.06578523057078,abstract+description,1e-05,C:\Users\Administrator\Desktop\lijianye\LJY_graduation_project_backend\myproject\dataset\OpenOffice_total_10_10.csv,13
